SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1958240N08146,GRACE,1958-09-03 06:00:00,23.8,123.4,171,110.0,, , , , ,,6
1958240N08146,GRACE,1958-09-03 09:00:00,24.2,123.2,135,105.0,, , , , ,,6
1958240N08146,GRACE,1958-09-03 12:00:00,24.7,122.9,96,100.0,, , , , ,,6
1958240N08146,GRACE,1958-09-03 15:00:00,25.2,122.5,55,108.0,, , , , ,,6
1958240N08146,GRACE,1958-09-03 18:00:00,25.8,122.0,78,115.0,, , , , ,,6
1958240N08146,GRACE,1958-09-03 21:00:00,26.2,121.5,111,115.0,, , , , ,,6
1958240N08146,GRACE,1958-09-04 00:00:00,26.5,121.0,81,115.0,, , , , ,,5
1958240N08146,GRACE,1958-09-04 03:00:00,26.9,120.5,22,103.0,, , , , ,,5
1958240N08146,GRACE,1958-09-04 06:00:00,27.3,120.0,0,90.0,, , , , ,,5
1958240N08146,GRACE,1958-09-04 09:00:00,27.5,119.8,0,80.0,, , , , ,,5
1958240N08146,GRACE,1958-09-04 12:00:00,27.9,119.8,0,70.0,, , , , ,,4
1958240N08146,GRACE,1958-09-04 15:00:00,28.9,119.6,0,65.0,, , , , ,,4
1958240N08146,GRACE,1958-09-04 18:00:00,29.9,119.8,0,60.0,, , , , ,,0
1958240N08146,GRACE,1958-09-04 21:00:00,30.7,120.3,0,48.0,, , , , ,,0
1958240N08146,GRACE,1958-09-05 00:00:00,31.2,120.9,0,35.0,, , , , ,,0
1958240N08146,GRACE,1958-09-05 03:00:00,31.5,121.5,11,33.0,, , , , ,,0
1958240N08146,GRACE,1958-09-05 06:00:00,31.6,121.8,11,30.0,, , , , ,,0
